S_Wave_X;S_Wave_Y;S_Surge_X;S_Surge_Y;S_Sway_X;S_Sway_Y;S_Heave_X;S_Heave_Y;S_Roll_X;S_Roll_Y;S_Pitch_X;S_Pitch_Y;S_Yaw_X;S_Yaw_Y;S_Added_Res_X;S_Added_Res_Y;S_Wave_WF_X;S_Wave_WF_Y
0,240000;0,000000;0,240000;0,000000;0,240000;0,000000;0,240000;0,000000;0,240000;0,000000;0,240000;0,000000;0,240000;0,000000;0,240000;0,000000;0,240000;0,000000
0,270667;0,000000;0,270667;0,000000;0,270667;0,000000;0,270667;0,000000;0,270667;0,000000;0,270667;0,000000;0,270667;0,000000;0,270667;0,000000;0,257778;0,000000
0,301333;0,000000;0,301333;0,000000;0,301333;0,000000;0,301333;0,000000;0,301333;0,000000;0,301333;0,000000;0,301333;0,000000;0,301333;0,000011;0,275556;0,000000
0,332000;0,000025;0,332000;0,000000;0,332000;0,000000;0,332000;0,000026;0,332000;0,000468;0,332000;0,000002;0,332000;0,000000;0,332000;0,014555;0,293333;0,000000
0,362667;0,001751;0,362667;0,000000;0,362667;0,000000;0,362667;0,001873;0,362667;0,009395;0,362667;0,000184;0,362667;0,000000;0,362667;1,080894;0,311111;0,000000
0,393333;0,024664;0,393333;0,000000;0,393333;0,000000;0,393333;0,027116;0,393333;0,066486;0,393333;0,003905;0,393333;0,000000;0,393333;14,814847;0,328889;0,000014
0,424000;0,139096;0,424000;0,000000;0,424000;0,000000;0,424000;0,158652;0,424000;0,239838;0,424000;0,030891;0,424000;0,000000;0,424000;74,960565;0,346667;0,000240
0,454667;0,424825;0,454667;0,000000;0,454667;0,000000;0,454667;0,510114;0,454667;0,542181;0,454667;0,121386;0,454667;0,000000;0,454667;188,983231;0,364444;0,002109
0,485333;0,871744;0,485333;0,000000;0,485333;0,000000;0,485333;1,124186;0,485333;0,901308;0,485333;0,290610;0,485333;0,000000;0,485333;367,910743;0,382222;0,010640
0,516000;1,374197;0,516000;0,000000;0,516000;0,000000;0,516000;1,952775;0,516000;1,202577;0,516000;0,483429;0,516000;0,000000;0,516000;771,195984;0,400000;0,038395
0,546667;1,812283;0,546667;0,000000;0,546667;0,000000;0,546667;2,909860;0,546667;1,402000;0,546667;0,587649;0,546667;0,000000;0,546667;1364,852660;0,419048;0,110447
0,577333;2,113956;0,577333;0,000000;0,577333;0,000000;0,577333;3,914547;0,577333;1,477954;0,577333;0,538473;0,577333;0,000000;0,577333;1951,988649;0,438095;0,246924
0,608000;2,263589;0,608000;0,000000;0,608000;0,000000;0,608000;4,874939;0,608000;1,455232;0,608000;0,368158;0,608000;0,000000;0,608000;2381,720791;0,457143;0,455900
0,638667;2,282010;0,638667;0,000000;0,638667;0,000000;0,638667;5,555711;0,638667;1,373124;0,638667;0,189331;0,638667;0,000000;0,638667;2539,776497;0,476190;0,726822
0,669333;2,204265;0,669333;0,000000;0,669333;0,000000;0,669333;5,743898;0,669333;1,251077;0,669333;0,137996;0,669333;0,000000;0,669333;2404,477816;0,495238;1,034270
0,700000;2,065310;0,700000;0,000000;0,700000;0,000000;0,700000;5,117856;0,700000;1,117404;0,700000;0,221175;0,700000;0,000000;0,700000;2014,272216;0,514286;1,346849
0,730667;1,893613;0,730667;0,000000;0,730667;0,000000;0,730667;3,857554;0,730667;0,982972;0,730667;0,323873;0,730667;0,000000;0,730667;1562,697580;0,533333;1,635757
0,761333;1,709727;0,761333;0,000000;0,761333;0,000000;0,761333;2,475337;0,761333;0,855144;0,761333;0,328084;0,761333;0,000000;0,761333;1208,135275;0,552381;1,879989
0,792000;1,527175;0,792000;0,000000;0,792000;0,000000;0,792000;1,387899;0,792000;0,741149;0,792000;0,213032;0,792000;0,000000;0,792000;1017,924693;0,571429;2,067867
0,822667;1,354071;0,822667;0,000000;0,822667;0,000000;0,822667;0,716885;0,822667;0,639006;0,822667;0,088532;0,822667;0,000000;0,822667;923,529619;0,590476;2,196046
0,853333;1,194724;0,853333;0,000000;0,853333;0,000000;0,853333;0,355934;0,853333;0,550319;0,853333;0,015649;0,853333;0,000000;0,853333;797,086130;0,609524;2,267339
0,884000;1,050919;0,884000;0,000000;0,884000;0,000000;0,884000;0,173937;0,884000;0,473898;0,884000;0,000960;0,884000;0,000000;0,884000;603,205567;0,628571;2,288373
0,914667;0,922877;0,914667;0,000000;0,914667;0,000000;0,914667;0,083147;0,914667;0,407953;0,914667;0,011778;0,914667;0,000000;0,914667;473,025318;0,647619;2,267613
